Asta und die Wälle;Fernando Bavaba;0;Dokumentation, Komödie;4527;76;97;deutsch;Madagaskar;2017;True
Blasse Länder;Simone Krause;12;Drama;2808;89;72;deutsch;Äthopien;2015;False
Legacy of Medusa;Sandor Wagner;16;Krimi;1505;24;82;englisch;Japan;2015;False
Britische Krone auf dem Land;Jörn Meier;6;Action;3744;73;72;deutsch;Kirgisistan;2015;False
Altbackener Pakt, ignorantes Schicksal;Hanspeter Koch;6;Dokumentation;1929;96;102;deutsch;Nepal;2016;False
Tower of Lizzie Borden;Ignatz Lange;16;Krimi, Zeichentrick, Komödie;1294;12;108;englisch;Togo;2017;True
The Embrace of The Bats;Maria-Luise Wolf;16;Komödie, Action, Horror;2334;6;97;englisch;Venezuela;2016;False
Cave of the Insane Clown ;Melita Wagner;18;Horror;4361;50;108;englisch;Niger;2016;False
The Sensation of Mexico;Elvira Werner;16;Dokumentation, Action, Horror;2111;37;69;englisch;Weißrussland;2015;False
Final Dream;Rosalinde Folefo;18;Thriller, Zeichentrick, Horror;3458;44;117;deutsch;Brasilien;2017;False
Der Lord der Schiffe;Anke Wovedu;16;Thriller, Komödie, Horror;1475;69;62;deutsch;Mauretanien;2015;False
Die voreingenommene Frau Falisademeiner;Camilla Wagner;12;Drama, Krimi;1776;66;96;deutsch;Bouvetinsel;2016;False
Nancy und die Schwüre;Filippo Meier;0;Komödie;3533;41;69;deutsch;Vanuatu;2017;False
Anzügliche Stadt, holder Clown;Julian Lange;12;Krimi;2547;88;81;deutsch;Uruguay;2015;False
Der detailverliebte Herr Woliwattehein;Hans-Willi Lange;0;Thriller, Krimi, Zeichentrick;1899;45;75;deutsch;Tschechien;2016;True
Child of Pestilence;Arno Gotubi;16;Drama;3758;47;117;englisch;China;2017;False
Schädliche Nächte und der Lohn;Valentine Meyer;12;Action;4238;96;106;deutsch;Ungarn;2015;False
Creatures of Wonder;Peter Fuwefo;16;Zeichentrick;1799;80;92;englisch;Republik Kongo;2017;False
Monsters's Terror;Elisabet Klein;18;Horror;2264;68;67;englisch;Suriname;2016;False
